datetime,season,temp,humidity,windspeed,weather
2011-01-01 00:00:00,1,9.84,81,0,1
2011-01-01 01:00:00,1,9.02,80,0,1
2011-01-01 02:00:00,1,9.02,80,0,1
2011-01-01 03:00:00,1,9.84,75,0,1
2011-01-01 04:00:00,1,9.84,75,0,1
2011-01-01 05:00:00,1,9.84,75,6.0032,2
2011-01-01 06:00:00,1,9.02,80,0,1
2011-01-01 07:00:00,1,8.2,86,0,1
2011-01-01 08:00:00,1,9.84,75,0,1
2011-01-01 09:00:00,1,13.12,76,0,1
2011-01-01 10:00:00,1,15.58,76,16.9979,1
2011-01-01 11:00:00,1,14.76,81,19.0012,1
2011-01-01 12:00:00,1,17.22,77,19.0012,1
2011-01-01 13:00:00,1,18.86,72,19.9995,2
2011-01-01 14:00:00,1,18.86,72,19.0012,2
2011-01-01 15:00:00,1,18.04,77,19.9995,2
2011-01-01 16:00:00,1,17.22,82,19.9995,2
2011-01-01 17:00:00,1,18.04,82,19.0012,2
2011-01-01 18:00:00,1,17.22,88,16.9979,3
2011-01-01 19:00:00,1,17.22,88,16.9979,3
2011-01-01 20:00:00,1,16.4,87,16.9979,2
2011-01-01 21:00:00,1,16.4,87,12.998,2
2011-01-01 22:00:00,1,16.4,94,15.0013,2
2011-01-01 23:00:00,1,18.86,88,19.9995,2
2011-01-02 00:00:00,1,18.86,88,19.9995,2
2011-01-02 01:00:00,1,18.04,94,16.9979,2
2011-01-02 02:00:00,1,17.22,100,19.0012,2
2011-01-02 03:00:00,1,18.86,94,12.998,2
2011-01-02 04:00:00,1,18.86,94,12.998,2
2011-01-02 06:00:00,1,17.22,77,19.9995,3
2011-01-02 07:00:00,1,16.4,76,12.998,2
2011-01-02 08:00:00,1,16.4,71,15.0013,3
2011-01-02 09:00:00,1,15.58,76,15.0013,2
2011-01-02 10:00:00,1,14.76,81,15.0013,2
2011-01-02 11:00:00,1,14.76,71,16.9979,2
2011-01-02 12:00:00,1,14.76,66,19.9995,2
2011-01-02 13:00:00,1,14.76,66,8.9981,2
2011-01-02 14:00:00,1,14.76,76,12.998,3
2011-01-02 15:00:00,1,13.94,81,11.0014,3
2011-01-02 16:00:00,1,13.94,71,11.0014,3
2011-01-02 17:00:00,1,13.94,57,12.998,1
2011-01-02 18:00:00,1,14.76,46,22.0028,2
2011-01-02 19:00:00,1,13.12,42,30.0026,1
2011-01-02 20:00:00,1,12.3,39,23.9994,1
2011-01-02 21:00:00,1,10.66,44,22.0028,1
2011-01-02 22:00:00,1,9.84,44,19.9995,1
2011-01-02 23:00:00,1,9.02,47,11.0014,1
2011-01-03 00:00:00,1,9.02,44,23.9994,1
2011-01-03 01:00:00,1,8.2,44,27.9993,1
2011-01-03 04:00:00,1,6.56,47,26.0027,1
2011-01-03 05:00:00,1,6.56,47,19.0012,1
2011-01-03 06:00:00,1,5.74,50,26.0027,1
2011-01-03 07:00:00,1,5.74,50,12.998,1
2011-01-03 08:00:00,1,5.74,50,19.0012,1
2011-01-03 09:00:00,1,6.56,43,26.0027,1
2011-01-03 10:00:00,1,7.38,43,16.9979,1
2011-01-03 11:00:00,1,8.2,40,22.0028,1
2011-01-03 12:00:00,1,9.02,35,19.9995,1
2011-01-03 13:00:00,1,9.84,35,19.0012,1
